REGION;DEPARTAMENTO;MUNICIPIO
BAJO CAUCA Y NORDESTE ANTIOQUEÑO;ANTIOQUIA;AMALFI
BAJO CAUCA Y NORDESTE ANTIOQUEÑO;ANTIOQUIA;ANORI
BAJO CAUCA Y NORDESTE ANTIOQUEÑO;ANTIOQUIA;BRICEÑO
BAJO CAUCA Y NORDESTE ANTIOQUEÑO;ANTIOQUIA;CACERES
BAJO CAUCA Y NORDESTE ANTIOQUEÑO;ANTIOQUIA;CAUCASIA
BAJO CAUCA Y NORDESTE ANTIOQUEÑO;ANTIOQUIA;EL BAGRE
BAJO CAUCA Y NORDESTE ANTIOQUEÑO;ANTIOQUIA;ITUANGO
BAJO CAUCA Y NORDESTE ANTIOQUEÑO;ANTIOQUIA;NECHI
BAJO CAUCA Y NORDESTE ANTIOQUEÑO;ANTIOQUIA;REMEDIOS
BAJO CAUCA Y NORDESTE ANTIOQUEÑO;ANTIOQUIA;SEGOVIA
BAJO CAUCA Y NORDESTE ANTIOQUEÑO;ANTIOQUIA;TARAZA
BAJO CAUCA Y NORDESTE ANTIOQUEÑO;ANTIOQUIA;VALDIVIA
BAJO CAUCA Y NORDESTE ANTIOQUEÑO;ANTIOQUIA;ZARAGOZA
CHOCO;ANTIOQUIA;MURINDO
CHOCO;ANTIOQUIA;VIGIA DEL FUERTE
SUR DE BOLIVAR;ANTIOQUIA;YONDO-CASABE
URABA ANTIOQUEÑO;ANTIOQUIA;APARTADO
URABA ANTIOQUEÑO;ANTIOQUIA;CAREPA
URABA ANTIOQUEÑO;ANTIOQUIA;CHIGORODO
URABA ANTIOQUEÑO;ANTIOQUIA;DABEIBA
URABA ANTIOQUEÑO;ANTIOQUIA;MUTATA
URABA ANTIOQUEÑO;ANTIOQUIA;NECOCLI
URABA ANTIOQUEÑO;ANTIOQUIA;SAN PEDRO DE URABA
URABA ANTIOQUEÑO;ANTIOQUIA;TURBO
ARAUCA;ARAUCA;ARAUQUITA
ARAUCA;ARAUCA;FORTUL
ARAUCA;ARAUCA;SARAVENA
ARAUCA;ARAUCA;TAME
MONTES DE MARIA;BOLIVAR;CORDOBA
MONTES DE MARIA;BOLIVAR;EL CARMEN DE BOLIVAR
MONTES DE MARIA;BOLIVAR;EL GUAMO
MONTES DE MARIA;BOLIVAR;MARIA LA BAJA
MONTES DE MARIA;BOLIVAR;SAN JACINTO
MONTES DE MARIA;BOLIVAR;SAN JUAN NEPOMUCENO
MONTES DE MARIA;BOLIVAR;ZAMBRANO
SUR DE BOLIVAR;BOLIVAR;ARENAL
SUR DE BOLIVAR;BOLIVAR;CANTAGALLO
SUR DE BOLIVAR;BOLIVAR;MORALES
SUR DE BOLIVAR;BOLIVAR;SAN PABLO
SUR DE BOLIVAR;BOLIVAR;SANTA ROSA DEL SUR
SUR DE BOLIVAR;BOLIVAR;SIMITI
SUR DE CORDOBA;CORDOBA;MONTELIBANO
SUR DE CORDOBA;CORDOBA;PUERTO LIBERTADOR
SUR DE CORDOBA;CORDOBA;SAN JOSE DE URE
SUR DE CORDOBA;CORDOBA;TIERRALTA
SUR DE CORDOBA;CORDOBA;VALENCIA
